histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
infiltratinglobularcarcinoma,60,0.6746031746031746,L-LSPIN,0.15,0.007,0.1,570124
other,23,0.4864864864864865,L-LSPIN,0.15,0.007,0.1,570124
infiltratingductalcarcinoma,220,0.562684124386252,L-LSPIN,0.15,0.007,0.1,570125
infiltratinglobularcarcinoma,60,0.4338624338624338,L-LSPIN,0.15,0.007,0.1,570125
other,23,0.4864864864864865,L-LSPIN,0.15,0.007,0.1,570125
infiltratingductalcarcinoma,220,0.6543371522094926,L-LSPIN,0.12,0.021,0.1,610123
infiltratinglobularcarcinoma,60,0.4338624338624338,L-LSPIN,0.12,0.021,0.1,610123
other,23,0.6756756756756757,L-LSPIN,0.12,0.021,0.1,610123
infiltratingductalcarcinoma,220,0.5253682487725041,L-LSPIN,0.12,0.021,0.1,610124
infiltratinglobularcarcinoma,60,0.6507936507936508,L-LSPIN,0.12,0.021,0.1,610124
other,23,0.7567567567567568,L-LSPIN,0.12,0.021,0.1,610124
infiltratingductalcarcinoma,220,0.6821603927986907,L-LSPIN,0.12,0.021,0.1,610125
infiltratinglobularcarcinoma,60,0.492063492063492,L-LSPIN,0.12,0.021,0.1,610125
other,23,0.6216216216216216,L-LSPIN,0.12,0.021,0.1,610125
infiltratingductalcarcinoma,220,0.6847790507364976,L-LSPIN,0.12,0.014,0.1,650123
infiltratinglobularcarcinoma,60,0.5714285714285714,L-LSPIN,0.12,0.014,0.1,650123
other,23,0.6216216216216216,L-LSPIN,0.12,0.014,0.1,650123
infiltratingductalcarcinoma,220,0.5725040916530278,L-LSPIN,0.12,0.014,0.1,650124
infiltratinglobularcarcinoma,60,0.6666666666666666,L-LSPIN,0.12,0.014,0.1,650124
other,23,0.5945945945945946,L-LSPIN,0.12,0.014,0.1,650124
infiltratingductalcarcinoma,220,0.6490998363338789,L-LSPIN,0.12,0.014,0.1,650125
infiltratinglobularcarcinoma,60,0.4603174603174603,L-LSPIN,0.12,0.014,0.1,650125
other,23,0.4594594594594595,L-LSPIN,0.12,0.014,0.1,650125
infiltratingductalcarcinoma,220,0.6402618657937806,L-LSPIN,0.12,0.0105,0.1,690123
infiltratinglobularcarcinoma,60,0.6931216931216931,L-LSPIN,0.12,0.0105,0.1,690123
other,23,0.8648648648648649,L-LSPIN,0.12,0.0105,0.1,690123
infiltratingductalcarcinoma,220,0.6484451718494272,L-LSPIN,0.12,0.0105,0.1,690124
infiltratinglobularcarcinoma,60,0.4708994708994709,L-LSPIN,0.12,0.0105,0.1,690124
other,23,0.7297297297297297,L-LSPIN,0.12,0.0105,0.1,690124
infiltratingductalcarcinoma,220,0.6112929623567921,L-LSPIN,0.12,0.0105,0.1,690125
infiltratinglobularcarcinoma,60,0.2857142857142857,L-LSPIN,0.12,0.0105,0.1,690125
other,23,0.5135135135135135,L-LSPIN,0.12,0.0105,0.1,690125
infiltratingductalcarcinoma,220,0.690671031096563,L-LSPIN,0.12,0.00875,0.1,730123
infiltratinglobularcarcinoma,60,0.5343915343915344,L-LSPIN,0.12,0.00875,0.1,730123
other,23,0.4864864864864865,L-LSPIN,0.12,0.00875,0.1,730123
infiltratingductalcarcinoma,220,0.6780687397708675,L-LSPIN,0.12,0.00875,0.1,730124
infiltratinglobularcarcinoma,60,0.3386243386243386,L-LSPIN,0.12,0.00875,0.1,730124
other,23,0.5135135135135135,L-LSPIN,0.12,0.00875,0.1,730124
infiltratingductalcarcinoma,220,0.5872340425531914,L-LSPIN,0.12,0.00875,0.1,730125
infiltratinglobularcarcinoma,60,0.5978835978835979,L-LSPIN,0.12,0.00875,0.1,730125
other,23,0.6756756756756757,L-LSPIN,0.12,0.00875,0.1,730125
infiltratingductalcarcinoma,220,0.4972176759410802,L-LSPIN,0.12,0.007,0.1,770123
infiltratinglobularcarcinoma,60,0.4021164021164021,L-LSPIN,0.12,0.007,0.1,770123
other,23,0.4594594594594595,L-LSPIN,0.12,0.007,0.1,770123
infiltratingductalcarcinoma,220,0.6690671031096563,L-LSPIN,0.12,0.007,0.1,770124
infiltratinglobularcarcinoma,60,0.6190476190476191,L-LSPIN,0.12,0.007,0.1,770124
other,23,0.5405405405405406,L-LSPIN,0.12,0.007,0.1,770124
infiltratingductalcarcinoma,220,0.5657937806873977,L-LSPIN,0.12,0.007,0.1,770125
infiltratinglobularcarcinoma,60,0.4603174603174603,L-LSPIN,0.12,0.007,0.1,770125
other,23,0.4324324324324324,L-LSPIN,0.12,0.007,0.1,770125
infiltratingductalcarcinoma,220,0.481178396072013,Concrete,0.15,0.0055,0.1,810123
infiltratinglobularcarcinoma,60,0.3597883597883597,Concrete,0.15,0.0055,0.1,810123
other,23,0.3243243243243243,Concrete,0.15,0.0055,0.1,810123
infiltratingductalcarcinoma,220,0.5204582651391162,Concrete,0.15,0.0055,0.1,810124
infiltratinglobularcarcinoma,60,0.7619047619047619,Concrete,0.15,0.0055,0.1,810124
other,23,0.4054054054054054,Concrete,0.15,0.0055,0.1,810124
infiltratingductalcarcinoma,220,0.5027823240589198,Concrete,0.15,0.0055,0.1,810125
infiltratinglobularcarcinoma,60,0.492063492063492,Concrete,0.15,0.0055,0.1,810125
other,23,0.3783783783783784,Concrete,0.15,0.0055,0.1,810125
infiltratingductalcarcinoma,220,0.5299509001636661,Concrete,0.15,0.0044,0.1,850123
infiltratinglobularcarcinoma,60,0.3809523809523809,Concrete,0.15,0.0044,0.1,850123
other,23,0.3513513513513513,Concrete,0.15,0.0044,0.1,850123
infiltratingductalcarcinoma,220,0.5008183306055647,Concrete,0.15,0.0044,0.1,850124
infiltratinglobularcarcinoma,60,0.671957671957672,Concrete,0.15,0.0044,0.1,850124
other,23,0.3783783783783784,Concrete,0.15,0.0044,0.1,850124
infiltratingductalcarcinoma,220,0.5728314238952537,Concrete,0.15,0.0044,0.1,850125
infiltratinglobularcarcinoma,60,0.2222222222222222,Concrete,0.15,0.0044,0.1,850125
other,23,0.7297297297297297,Concrete,0.15,0.0044,0.1,850125
infiltratingductalcarcinoma,220,0.6009819967266776,Concrete,0.15,0.0033,0.1,890123
infiltratinglobularcarcinoma,60,0.5132275132275133,Concrete,0.15,0.0033,0.1,890123
other,23,0.3783783783783784,Concrete,0.15,0.0033,0.1,890123
infiltratingductalcarcinoma,220,0.6150572831423895,Concrete,0.15,0.0033,0.1,890124
infiltratinglobularcarcinoma,60,0.5185185185185185,Concrete,0.15,0.0033,0.1,890124
other,23,0.4594594594594595,Concrete,0.15,0.0033,0.1,890124
infiltratingductalcarcinoma,220,0.4942716857610474,Concrete,0.15,0.0033,0.1,890125
infiltratinglobularcarcinoma,60,0.746031746031746,Concrete,0.15,0.0033,0.1,890125
other,23,0.4324324324324324,Concrete,0.15,0.0033,0.1,890125
infiltratingductalcarcinoma,220,0.527986906710311,Concrete,0.15,0.00275,0.1,930123
infiltratinglobularcarcinoma,60,0.5873015873015873,Concrete,0.15,0.00275,0.1,930123
other,23,0.5945945945945946,Concrete,0.15,0.00275,0.1,930123
infiltratingductalcarcinoma,220,0.5227495908346972,Concrete,0.15,0.00275,0.1,930124
infiltratinglobularcarcinoma,60,0.5238095238095238,Concrete,0.15,0.00275,0.1,930124
other,23,0.4594594594594595,Concrete,0.15,0.00275,0.1,930124
infiltratingductalcarcinoma,220,0.465139116202946,Concrete,0.15,0.00275,0.1,930125
infiltratinglobularcarcinoma,60,0.544973544973545,Concrete,0.15,0.00275,0.1,930125
other,23,0.4864864864864865,Concrete,0.15,0.00275,0.1,930125
infiltratingductalcarcinoma,220,0.6189852700490999,Concrete,0.15,0.0022,0.1,970123
infiltratinglobularcarcinoma,60,0.492063492063492,Concrete,0.15,0.0022,0.1,970123
other,23,0.4864864864864865,Concrete,0.15,0.0022,0.1,970123
infiltratingductalcarcinoma,220,0.6432078559738135,Concrete,0.15,0.0022,0.1,970124
infiltratinglobularcarcinoma,60,0.4814814814814814,Concrete,0.15,0.0022,0.1,970124
other,23,0.2702702702702703,Concrete,0.15,0.0022,0.1,970124
infiltratingductalcarcinoma,220,0.5126022913256956,Concrete,0.15,0.0022,0.1,970125
infiltratinglobularcarcinoma,60,0.4656084656084656,Concrete,0.15,0.0022,0.1,970125
other,23,0.4054054054054054,Concrete,0.15,0.0022,0.1,970125
infiltratingductalcarcinoma,220,0.5152209492635025,Concrete,0.12,0.0055,0.1,1010123
infiltratinglobularcarcinoma,60,0.5026455026455027,Concrete,0.12,0.0055,0.1,1010123
other,23,0.4594594594594595,Concrete,0.12,0.0055,0.1,1010123
infiltratingductalcarcinoma,220,0.4631751227495908,Concrete,0.12,0.0055,0.1,1010124
infiltratinglobularcarcinoma,60,0.582010582010582,Concrete,0.12,0.0055,0.1,1010124
other,23,0.2972972972972973,Concrete,0.12,0.0055,0.1,1010124
infiltratingductalcarcinoma,220,0.5145662847790508,Concrete,0.12,0.0055,0.1,1010125
infiltratinglobularcarcinoma,60,0.6772486772486772,Concrete,0.12,0.0055,0.1,1010125
other,23,0.5675675675675675,Concrete,0.12,0.0055,0.1,1010125
infiltratingductalcarcinoma,220,0.5322422258592472,Concrete,0.12,0.0044,0.1,1050123
infiltratinglobularcarcinoma,60,0.4603174603174603,Concrete,0.12,0.0044,0.1,1050123
other,23,0.7027027027027027,Concrete,0.12,0.0044,0.1,1050123
infiltratingductalcarcinoma,220,0.6098199672667758,Concrete,0.12,0.0044,0.1,1050124
infiltratinglobularcarcinoma,60,0.2328042328042328,Concrete,0.12,0.0044,0.1,1050124
other,23,0.2702702702702703,Concrete,0.12,0.0044,0.1,1050124
infiltratingductalcarcinoma,220,0.4576104746317512,Concrete,0.12,0.0044,0.1,1050125
infiltratinglobularcarcinoma,60,0.4179894179894179,Concrete,0.12,0.0044,0.1,1050125
other,23,0.6756756756756757,Concrete,0.12,0.0044,0.1,1050125
infiltratingductalcarcinoma,220,0.4749590834697217,Concrete,0.12,0.0033,0.1,1090123
infiltratinglobularcarcinoma,60,0.6296296296296297,Concrete,0.12,0.0033,0.1,1090123
other,23,0.5945945945945946,Concrete,0.12,0.0033,0.1,1090123
infiltratingductalcarcinoma,220,0.5479541734860883,Concrete,0.12,0.0033,0.1,1090124
infiltratinglobularcarcinoma,60,0.544973544973545,Concrete,0.12,0.0033,0.1,1090124
other,23,0.3783783783783784,Concrete,0.12,0.0033,0.1,1090124
infiltratingductalcarcinoma,220,0.5394435351882161,Concrete,0.12,0.0033,0.1,1090125
infiltratinglobularcarcinoma,60,0.5978835978835979,Concrete,0.12,0.0033,0.1,1090125
other,23,0.8378378378378378,Concrete,0.12,0.0033,0.1,1090125
infiltratingductalcarcinoma,220,0.5787234042553191,Concrete,0.12,0.00275,0.1,1130123
infiltratinglobularcarcinoma,60,0.5925925925925926,Concrete,0.12,0.00275,0.1,1130123
other,23,0.5945945945945946,Concrete,0.12,0.00275,0.1,1130123
infiltratingductalcarcinoma,220,0.5823240589198037,Concrete,0.12,0.00275,0.1,1130124
infiltratinglobularcarcinoma,60,0.4179894179894179,Concrete,0.12,0.00275,0.1,1130124
other,23,0.2702702702702703,Concrete,0.12,0.00275,0.1,1130124
infiltratingductalcarcinoma,220,0.4926350245499181,Concrete,0.12,0.00275,0.1,1130125
infiltratinglobularcarcinoma,60,0.4761904761904761,Concrete,0.12,0.00275,0.1,1130125
other,23,0.5405405405405406,Concrete,0.12,0.00275,0.1,1130125
infiltratingductalcarcinoma,220,0.5869067103109656,Concrete,0.12,0.0022,0.1,1170123
infiltratinglobularcarcinoma,60,0.544973544973545,Concrete,0.12,0.0022,0.1,1170123
other,23,0.2432432432432432,Concrete,0.12,0.0022,0.1,1170123
infiltratingductalcarcinoma,220,0.5636661211129296,Concrete,0.12,0.0022,0.1,1170124
infiltratinglobularcarcinoma,60,0.6349206349206349,Concrete,0.12,0.0022,0.1,1170124
other,23,0.4324324324324324,Concrete,0.12,0.0022,0.1,1170124
infiltratingductalcarcinoma,220,0.644189852700491,Concrete,0.12,0.0022,0.1,1170125
infiltratinglobularcarcinoma,60,0.5714285714285714,Concrete,0.12,0.0022,0.1,1170125
other,23,0.4864864864864865,Concrete,0.12,0.0022,0.1,1170125
infiltratingductalcarcinoma,220,0.6405891980360066,L-Concrete,0.15,0.0066,0.1,1210123
infiltratinglobularcarcinoma,60,0.5026455026455027,L-Concrete,0.15,0.0066,0.1,1210123
other,23,0.6216216216216216,L-Concrete,0.15,0.0066,0.1,1210123
infiltratingductalcarcinoma,220,0.5862520458265139,L-Concrete,0.15,0.0066,0.1,1210124
infiltratinglobularcarcinoma,60,0.6296296296296297,L-Concrete,0.15,0.0066,0.1,1210124
other,23,0.4864864864864865,L-Concrete,0.15,0.0066,0.1,1210124
infiltratingductalcarcinoma,220,0.6006546644844517,L-Concrete,0.15,0.0066,0.1,1210125
infiltratinglobularcarcinoma,60,0.6137566137566137,L-Concrete,0.15,0.0066,0.1,1210125
other,23,0.5135135135135135,L-Concrete,0.15,0.0066,0.1,1210125
infiltratingductalcarcinoma,220,0.6039279869067103,L-Concrete,0.15,0.0044,0.1,1250123
infiltratinglobularcarcinoma,60,0.4973544973544973,L-Concrete,0.15,0.0044,0.1,1250123
other,23,0.4864864864864865,L-Concrete,0.15,0.0044,0.1,1250123
infiltratingductalcarcinoma,220,0.7027823240589198,L-Concrete,0.15,0.0044,0.1,1250124
infiltratinglobularcarcinoma,60,0.5608465608465608,L-Concrete,0.15,0.0044,0.1,1250124
other,23,0.5135135135135135,L-Concrete,0.15,0.0044,0.1,1250124
infiltratingductalcarcinoma,220,0.6013093289689034,L-Concrete,0.15,0.0044,0.1,1250125
infiltratinglobularcarcinoma,60,0.6613756613756614,L-Concrete,0.15,0.0044,0.1,1250125
other,23,0.4054054054054054,L-Concrete,0.15,0.0044,0.1,1250125
infiltratingductalcarcinoma,220,0.5908346972176759,L-Concrete,0.15,0.0033,0.1,1290123
infiltratinglobularcarcinoma,60,0.5291005291005291,L-Concrete,0.15,0.0033,0.1,1290123
other,23,0.5405405405405406,L-Concrete,0.15,0.0033,0.1,1290123
infiltratingductalcarcinoma,220,0.6052373158756138,L-Concrete,0.15,0.0033,0.1,1290124
infiltratinglobularcarcinoma,60,0.8042328042328042,L-Concrete,0.15,0.0033,0.1,1290124
other,23,0.4054054054054054,L-Concrete,0.15,0.0033,0.1,1290124
infiltratingductalcarcinoma,220,0.6366612111292962,L-Concrete,0.15,0.0033,0.1,1290125
