model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.12,0.00525,0.0,3,6,0.4976328049763733,1.958931720836483,0.2475247524752475,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.12,0.00525,0.0,3,7,0.5260372223337381,2.1940035273368608,0.2857142857142857,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.00525,0.0,3,8,0.5775252798645926,2.1940035273368608,0.2857142857142857,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.12,0.00525,0.0,3,9,0.5116871297098105,2.1156462585034013,0.2727272727272727,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.0,3,10,0.5252709690231543,2.507432602670698,0.3404255319148936,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.0,3,11,0.5165339702467564,2.2723607961703203,0.2989690721649484,2.35071806500378,0.3125
LSPIN,lspin_tf,0.12,0.00525,0.0,4,5,0.5144073585485963,1.802217183169564,0.2233009708737864,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.00525,0.0,4,6,0.6304211659734389,2.429075333837239,0.3263157894736842,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.00525,0.0,4,7,0.5476933818127517,2.1940035273368608,0.2857142857142857,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.00525,0.0,4,8,0.6371783008086578,2.742504409171076,0.3846153846153846,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.00525,0.0,4,9,0.6457466818263389,2.429075333837239,0.3263157894736842,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.12,0.00525,0.0,4,10,0.6273871074073003,2.429075333837239,0.3263157894736842,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.00525,0.0,4,11,0.567887599833343,2.1940035273368608,0.2857142857142857,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.0,5,6,0.3871035921259695,1.5671453766691863,0.1886792452830188,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.0,5,7,0.4721772045261012,2.1940035273368608,0.2857142857142857,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.0,5,8,0.4887628890729371,2.1940035273368608,0.2857142857142857,2.35071806500378,0.3125
LSPIN,lspin_tf,0.12,0.00525,0.0,5,9,0.4905219603980443,1.880574452003024,0.2352941176470588,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.00525,0.0,5,10,0.3691452433445211,2.1940035273368608,0.2857142857142857,2.037288989669942,0.26
LSPIN,lspin_tf,0.12,0.00525,0.0,5,11,0.4243409360947123,2.1156462585034013,0.2727272727272727,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.12,0.00525,0.0,6,7,0.4762411319151491,1.958931720836483,0.2475247524752475,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.0,6,8,0.5566591098679967,1.958931720836483,0.2475247524752475,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.00525,0.0,6,9,0.588381985405633,2.1156462585034013,0.2727272727272727,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,0.12,0.00525,0.0,6,10,0.6597442518159541,2.1940035273368608,0.2857142857142857,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,0.12,0.00525,0.0,6,11,0.6143928048766734,2.35071806500378,0.3125,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.00525,0.0,7,8,0.5861928400636502,2.429075333837239,0.3263157894736842,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.12,0.00525,0.0,7,9,0.4647981316340146,1.880574452003024,0.2352941176470588,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.12,0.00525,0.0,7,10,0.6066008577043864,2.35071806500378,0.3125,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.00525,0.0,7,11,0.5058147841512514,2.35071806500378,0.3125,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.12,0.00525,0.0,8,9,0.6354222925109376,2.507432602670698,0.3404255319148936,2.8208616780045355,0.4
LSPIN,lspin_tf,0.12,0.00525,0.0,8,10,0.5603012919226961,2.1940035273368608,0.2857142857142857,2.5857898715041574,0.3548387096774194
