model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.12,0.00525,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,370125,2,37,1,0.4894348894348894,0.837171052631579,7,779.0427856445312,779.0643310546875,0.9870105304619384,1916.0,1539.0,1273.9902070620951
L-LSPIN,lspin_tf,linear,0.15,0.021,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,410123,0,41,1,0.609009009009009,0.8157894736842105,34,346.8083801269531,346.810302734375,0.9603972899605536,594.0,521.0,438.40276805937066
L-LSPIN,lspin_tf,linear,0.15,0.021,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,410124,1,41,1,0.5421785421785422,0.8092105263157895,31,384.3202819824219,384.3086853027344,0.9629591330180908,630.0,566.0,478.2122082985406
L-LSPIN,lspin_tf,linear,0.15,0.021,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,410125,2,41,1,0.5895167895167895,0.8207236842105263,28,287.4283142089844,287.4179992675781,0.9497125778396718,487.0,413.0,355.09092020353927
L-LSPIN,lspin_tf,linear,0.15,0.014,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,450123,0,45,1,0.5598689598689599,0.8092105263157895,41,707.699951171875,707.7041625976562,0.9754227650189442,1107.0,987.0,860.5502299939941
L-LSPIN,lspin_tf,linear,0.15,0.014,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,450124,1,45,1,0.6465192465192465,0.7911184210526315,42,562.4794311523438,562.47265625,0.970043882092582,803.0,711.0,642.2476573281355
L-LSPIN,lspin_tf,linear,0.15,0.014,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,450125,2,45,1,0.5916461916461917,0.7993421052631579,46,680.4452514648438,680.4501342773438,0.9761134708531692,1039.0,945.0,814.8028010819122
L-LSPIN,lspin_tf,linear,0.15,0.0105,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,490123,0,49,1,0.6339066339066339,0.8322368421052632,20,1008.6348266601562,1008.6270141601562,0.9857710168529344,1990.0,1840.0,1464.5252448387157
L-LSPIN,lspin_tf,linear,0.15,0.0105,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,490124,1,49,1,0.6653562653562654,0.8421052631578947,37,912.6410522460938,912.6463012695312,0.9844439670559656,1449.0,1371.0,1143.5969345306046
L-LSPIN,lspin_tf,linear,0.15,0.0105,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,490125,2,49,1,0.5863226863226864,0.7911184210526315,31,685.2674560546875,685.2604370117188,0.9825411936143904,1264.0,1115.0,937.2418689289664
L-LSPIN,lspin_tf,linear,0.15,0.00875,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,530123,0,53,1,0.5947583947583948,0.8445723684210527,45,825.60791015625,825.6044921875,0.9806528521385952,1302.0,1217.0,1035.1733552458402
L-LSPIN,lspin_tf,linear,0.15,0.00875,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,530124,1,53,1,0.533906633906634,0.8100328947368421,70,828.5125732421875,828.5048217773438,0.978912051935953,1161.0,1083.0,958.5538344104458
L-LSPIN,lspin_tf,linear,0.15,0.00875,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,530125,2,53,1,0.5484029484029485,0.8125,27,1115.954833984375,1115.9453125,0.9872992346141444,1967.0,1803.0,1496.9590060628711
L-LSPIN,lspin_tf,linear,0.15,0.007,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,570123,0,57,1,0.4852579852579852,0.8297697368421053,24,1008.1094970703124,1008.1254272460938,0.9862923902898184,1798.0,1621.0,1369.9985277511
L-LSPIN,lspin_tf,linear,0.15,0.007,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,570124,1,57,1,0.6029484029484029,0.8273026315789473,52,966.25341796875,966.2540283203124,0.9801659568399153,1322.0,1233.0,1102.9841063408535
L-LSPIN,lspin_tf,linear,0.15,0.007,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,570125,2,57,1,0.5171171171171172,0.828125,69,726.2838745117188,726.2861938476562,0.9788800073280132,1006.0,944.0,829.2004663485891
L-LSPIN,lspin_tf,linear,0.12,0.021,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,610123,0,61,1,0.6168714168714169,0.8273026315789473,90,511.5458679199219,511.546630859375,0.9652140428553418,667.0,595.0,551.8655246825261
L-LSPIN,lspin_tf,linear,0.12,0.021,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,610124,1,61,1,0.5711711711711712,0.787828947368421,56,530.7265625,530.7234497070312,0.966983224801171,730.0,654.0,597.9839448774314
L-LSPIN,lspin_tf,linear,0.12,0.021,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,610125,2,61,1,0.6376740376740376,0.8273026315789473,25,448.7601013183594,448.7459716796875,0.9698062861991538,902.0,764.0,626.7562591470365
L-LSPIN,lspin_tf,linear,0.12,0.014,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,650123,0,65,1,0.6491400491400492,0.8256578947368421,54,898.4564208984375,898.453369140625,0.9791726706554776,1252.0,1164.0,1047.816164384748
L-LSPIN,lspin_tf,linear,0.12,0.014,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,650124,1,65,1,0.5978705978705978,0.8108552631578947,24,1021.7279052734376,1021.7395629882812,0.9856326627915106,1855.0,1672.0,1385.3274832944735
L-LSPIN,lspin_tf,linear,0.12,0.014,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,650125,2,65,1,0.6173628173628174,0.8092105263157895,40,743.8933715820312,743.8939208984375,0.979723515703222,1196.0,1090.0,930.1844837950944
L-LSPIN,lspin_tf,linear,0.12,0.0105,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,690123,0,69,1,0.6712530712530712,0.7467105263157895,55,969.8322143554688,969.82958984375,0.9845949351860148,1450.0,1342.0,1160.3718721195817
L-LSPIN,lspin_tf,linear,0.12,0.0105,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,690124,1,69,1,0.6440622440622441,0.7845394736842105,50,1219.5528564453125,1219.5498046875,0.986865431015466,1784.0,1698.0,1471.0423795978063
L-LSPIN,lspin_tf,linear,0.12,0.0105,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,690125,2,69,1,0.5563472563472563,0.8157894736842105,36,876.9375,876.942138671875,0.9785606233285744,1356.0,1218.0,1083.0228163723914
L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,730123,0,73,1,0.6494676494676495,0.8667763157894737,86,1229.2855224609375,1229.2957763671875,0.986797312082798,1699.0,1619.0,1439.746574840714
L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,730124,1,73,1,0.6285831285831286,0.8125,21,999.1859130859376,999.1865234375,0.9883523697354754,1994.0,1733.0,1449.4272796131415
L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,730125,2,73,1,0.6111384111384112,0.850328947368421,24,1496.557861328125,1496.5401611328125,0.9894703103454104,2516.0,2354.0,1976.296652328388
L-LSPIN,lspin_tf,linear,0.12,0.007,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,770123,0,77,1,0.4678132678132678,0.8453947368421053,24,1278.8681640625,1278.864990234375,0.988297485403994,2245.0,2000.0,1665.4342445991374
L-LSPIN,lspin_tf,linear,0.12,0.007,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,770124,1,77,1,0.653071253071253,0.787828947368421,19,1925.43603515625,1925.4276123046875,0.9933132584393812,3460.0,3195.0,2718.9061786362367
L-LSPIN,lspin_tf,linear,0.12,0.007,0.1,0.5,35,64,0.0,(),0.0,0.0,0.0,770125,2,77,1,0.5344799344799345,0.790296052631579,42,926.2232666015624,926.2411499023438,0.9829792188047388,1399.0,1291.0,1116.1696634813295
Concrete,concrete,mlp,0.15,0.0055,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,810123,0,81,1,0.4578214578214578,0.712171052631579,3,25.569320678710938,25.556270599365234,0.7871133197515727,140.0,81.0,73.84061793739508
Concrete,concrete,mlp,0.15,0.0055,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,810124,1,81,1,0.5703521703521703,0.7582236842105263,12,6.976208686828613,6.977491855621338,0.5463998005096319,20.0,16.0,13.789143249718036
Concrete,concrete,mlp,0.15,0.0055,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,810125,2,81,1,0.4835380835380835,0.8305921052631579,9,18.82610321044922,18.81672096252441,0.6697953792049958,68.0,50.0,42.21472064578607
Concrete,concrete,mlp,0.15,0.0044,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,850123,0,85,1,0.5071253071253071,0.6825657894736842,2,72.43163299560547,72.4244384765625,0.8945058259614693,429.0,230.0,197.6817090523087
Concrete,concrete,mlp,0.15,0.0044,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,850124,1,85,1,0.5066339066339066,0.8157894736842105,6,27.2755126953125,27.28617286682129,0.8095966443551678,105.0,80.0,67.44902934147564
Concrete,concrete,mlp,0.15,0.0044,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,850125,2,85,1,0.5287469287469287,0.837171052631579,4,43.202781677246094,43.20257186889648,0.870561302852092,160.0,128.0,103.67787419670869
Concrete,concrete,mlp,0.15,0.0033,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,890123,0,89,1,0.5811629811629812,0.8026315789473685,2,62.23854446411133,62.23151016235352,0.9146828935972372,369.0,242.0,209.94031500830124
Concrete,concrete,mlp,0.15,0.0033,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,890124,1,89,1,0.5818181818181818,0.819078947368421,2,91.9709243774414,91.95176696777344,0.9303849575272248,491.0,319.0,269.1677695708264
Concrete,concrete,mlp,0.15,0.0033,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,890125,2,89,1,0.5402129402129402,0.7944078947368421,3,49.08887100219727,49.09646224975586,0.8903209005512015,235.0,176.0,148.36408513060422
Concrete,concrete,mlp,0.15,0.00275,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,930123,0,93,1,0.5464373464373464,0.8273026315789473,3,125.02542114257812,125.05144500732422,0.9323826912684482,373.0,282.0,232.8330200346636
Concrete,concrete,mlp,0.15,0.00275,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,930124,1,93,1,0.5017199017199018,0.7993421052631579,3,67.4651107788086,67.48552703857422,0.8998027632163182,236.0,187.0,148.04856396394138
Concrete,concrete,mlp,0.15,0.00275,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,930125,2,93,1,0.5167895167895168,0.8207236842105263,3,48.0991439819336,48.11254119873047,0.8743647307672212,175.0,130.0,107.0111618259678
Concrete,concrete,mlp,0.15,0.0022,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,970123,0,97,1,0.6062244062244062,0.8289473684210527,3,129.84251403808594,129.84243774414062,0.9422142133294964,501.0,364.0,305.89233667916983
Concrete,concrete,mlp,0.15,0.0022,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,970124,1,97,1,0.589025389025389,0.7960526315789473,4,80.65647888183594,80.64630126953125,0.9183247836265273,271.0,222.0,181.56336660109008
Concrete,concrete,mlp,0.15,0.0022,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,970125,2,97,1,0.4989352989352989,0.8042763157894737,2,183.93019104003903,183.90353393554688,0.9605838072050792,750.0,523.0,409.7675418094916
Concrete,concrete,mlp,0.12,0.0055,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1010123,0,101,1,0.5228501228501229,0.7680921052631579,4,20.21029663085937,20.21221923828125,0.7151741366548344,87.0,57.0,51.47447948861335
Concrete,concrete,mlp,0.12,0.0055,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1010124,1,101,1,0.4856674856674857,0.8634868421052632,17,25.64615821838379,25.659164428710938,0.6236425366890326,57.0,54.0,43.14551959852494
Concrete,concrete,mlp,0.12,0.0055,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1010125,2,101,1,0.5351351351351351,0.7944078947368421,18,9.279647827148438,9.279743194580078,0.6801286094497058,37.0,27.0,23.32713319821625
Concrete,concrete,mlp,0.12,0.0044,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1050123,0,105,1,0.526945126945127,0.662828947368421,5,10.290417671203612,10.292604446411133,0.5753848673494736,41.0,30.0,23.59363290388425
Concrete,concrete,mlp,0.12,0.0044,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1050124,1,105,1,0.5217035217035217,0.78125,3,43.44450759887695,43.45337677001953,0.8753065517338127,206.0,131.0,112.17856266210076
Concrete,concrete,mlp,0.12,0.0044,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1050125,2,105,1,0.464045864045864,0.7615131578947368,4,20.38784408569336,20.41157531738281,0.7325829975895041,78.0,55.0,51.52118580778895
Concrete,concrete,mlp,0.12,0.0033,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1090123,0,109,1,0.4856674856674857,0.7861842105263158,5,84.3680419921875,84.38263702392578,0.8957580527563159,248.0,203.0,164.20226103637293
Concrete,concrete,mlp,0.12,0.0033,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1090124,1,109,1,0.5497133497133497,0.7861842105263158,3,69.47978973388672,69.45337677001953,0.892204950724237,289.0,199.0,160.2064148712505
Concrete,concrete,mlp,0.12,0.0033,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1090125,2,109,1,0.5497133497133497,0.8223684210526315,4,45.49427795410156,45.488746643066406,0.8657039034160368,222.0,152.0,124.71553041905644
Concrete,concrete,mlp,0.12,0.00275,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1130123,0,113,1,0.5705159705159705,0.8338815789473685,2,101.32079315185548,101.3569107055664,0.9257246786151064,513.0,355.0,299.6523302919311
Concrete,concrete,mlp,0.12,0.00275,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1130124,1,113,1,0.5400491400491401,0.787828947368421,2,96.6575698852539,96.64630126953124,0.940764337310139,464.0,332.0,274.7611887748476
Concrete,concrete,mlp,0.12,0.00275,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1130125,2,113,1,0.4812448812448812,0.8273026315789473,3,75.1087875366211,75.10289764404297,0.9142000900379906,316.0,223.0,180.2700824314097
Concrete,concrete,mlp,0.12,0.0022,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1170123,0,117,1,0.5428337428337429,0.8388157894736842,2,150.33355712890625,150.31832885742188,0.948687970742115,581.0,399.0,344.00017736119963
Concrete,concrete,mlp,0.12,0.0022,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1170124,1,117,1,0.5821457821457822,0.7911184210526315,3,114.1749496459961,114.17684936523438,0.9317657260151612,398.0,310.0,252.87178209056603
Concrete,concrete,mlp,0.12,0.0022,0.1,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,1170125,2,117,1,0.6147420147420147,0.805921052631579,2,173.73973083496094,173.77169799804688,0.935524272756756,600.0,431.0,347.2127910356516
L-Concrete,concrete,linear,0.15,0.0066,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1210123,0,121,1,0.6137592137592137,0.7730263157894737,6,312.5544128417969,312.5980834960937,0.9673310062185876,749.0,688.0,528.9810333269791
L-Concrete,concrete,linear,0.15,0.0066,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1210124,1,121,1,0.5823095823095823,0.7450657894736842,5,347.02154541015625,347.0482177734375,0.9661541151623154,787.0,686.0,547.5421126092913
L-Concrete,concrete,linear,0.15,0.0066,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1210125,2,121,1,0.5936117936117936,0.7779605263157895,3,404.4564514160156,404.4630126953125,0.974564775579287,1086.0,938.0,726.6638479176767
L-Concrete,concrete,linear,0.15,0.0044,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1250123,0,125,1,0.5896805896805897,0.7319078947368421,7,794.9757080078125,795.0546875,0.982730379840928,1554.0,1486.0,1168.7280149364867
L-Concrete,concrete,linear,0.15,0.0044,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1250124,1,125,1,0.6640458640458641,0.7927631578947368,20,753.5235595703125,753.5048217773438,0.9712398989584928,1123.0,1097.0,949.590587663346
L-Concrete,concrete,linear,0.15,0.0044,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1250125,2,125,1,0.6108108108108108,0.8026315789473685,2,896.550048828125,896.5916137695312,0.9845401727720012,2331.0,1966.0,1618.537078611988
L-Concrete,concrete,linear,0.15,0.0033,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1290123,0,129,1,0.5502047502047502,0.8174342105263158,5,1317.263427734375,1317.2154541015625,0.9902475611316688,2534.0,2410.0,1895.39823711475
L-Concrete,concrete,linear,0.15,0.0033,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1290124,1,129,1,0.5995085995085995,0.7351973684210527,6,1082.472900390625,1082.5755615234375,0.9839467952456704,1890.0,1811.0,1508.0847392171054
L-Concrete,concrete,linear,0.15,0.0033,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1290125,2,129,1,0.5947583947583948,0.7976973684210527,14,1388.0760498046875,1388.090087890625,0.9882676357237176,2153.0,2132.0,1810.8049859776995
L-Concrete,concrete,linear,0.15,0.00275,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1330123,0,133,1,0.5266175266175266,0.7368421052631579,4,1335.6455078125,1335.662353515625,0.988798899583725,2713.0,2548.0,2020.6575356023484
L-Concrete,concrete,linear,0.15,0.00275,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1330124,1,133,1,0.61998361998362,0.8388157894736842,2,1844.2861328125,1844.22509765625,0.9937379285401412,4289.0,3792.0,3063.506351479978
L-Concrete,concrete,linear,0.15,0.00275,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1330125,2,133,1,0.5763308763308763,0.790296052631579,25,1406.8389892578125,1406.810302734375,0.9870205684979484,2124.0,2092.0,1782.8336571684454
L-Concrete,concrete,linear,0.15,0.00165,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1370123,0,137,1,0.5441441441441441,0.7401315789473685,5,2402.04296875,2402.051513671875,0.99500988805226,4464.0,4304.0,3477.4443872707
L-Concrete,concrete,linear,0.15,0.00165,0.1,0.3,20,64,0.0,(),0.0,0.0,0.0,1370124,1,137,1,0.593939393939394,0.7730263157894737,6,2013.67822265625,2013.6527099609373,0.9873660407872304,3516.0,3382.0,2823.5876103156875
