model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
L-LSPIN,0.15,0.021,0.2,0.3759849863977796,1.7238599143361049,0.2134096790060092,2.011169900058789,0.2559255925592559
L-LSPIN,0.15,0.021,0.4,0.3311407113279818,1.81829046908412,0.2269505955234764,1.729887396554063,0.2138929694792958
LSPIN,0.12,0.00525,0.0,0.5485048359779913,2.228159259905292,0.2928265408572544,2.489350156016823,0.3383423451848442
LSPIN,0.12,0.00525,0.1,0.6587673479355022,2.5074326026706983,0.3408302497687326,2.742504409171076,0.3849462365591398
LSPIN,0.12,0.00525,0.2,0.6351024276744285,2.951457126060301,0.4284318514899853,2.429075333837239,0.3270114298520842
LSPIN,0.12,0.00525,0.4,0.5986870217341974,2.298479885781473,0.3053530140105001,2.716385319559923,0.3800447547157917
LSPIN,0.12,0.007,0.0,0.5766089956038579,2.167884437725708,0.2821892715587348,2.533551692281851,0.345748987854251
LSPIN,0.12,0.007,0.1,0.5678276795108302,2.429075333837239,0.3275178429817604,2.455194423448392,0.3345048422368009
LSPIN,0.12,0.007,0.2,0.5396490729023395,2.167884437725708,0.2824413976116762,2.4813135130595447,0.3357222844344905
LSPIN,0.12,0.007,0.4,0.6142575485302965,1.9328126312253295,0.246031746031746,2.716385319559923,0.3811800345537595
LSPIN,0.12,0.00875,0.0,0.4649511058602986,2.063408079281095,0.2643264326432643,2.4290753338372384,0.3271984308597581
LSPIN,0.12,0.00875,0.1,0.5242287388654058,2.1940035273368608,0.2882864450127877,2.4029562442260857,0.3221025939474559
LSPIN,0.12,0.00875,0.2,0.5015502565491262,1.880574452003024,0.2362264150943396,2.2723607961703203,0.3006784796785455
LSPIN,0.12,0.00875,0.4,0.5656906452728847,2.298479885781473,0.3036663824509727,2.5074326026706983,0.340526677021999
LSPIN,0.12,0.0105,0.0,0.5336512506478749,1.8283362727807173,0.2277669902912621,2.5857898715041574,0.3565127063070064
LSPIN,0.12,0.0105,0.1,0.5670680317606812,2.141765348114555,0.2782566810129116,2.559670781893004,0.3510498913905457
LSPIN,0.12,0.0105,0.2,0.5472846455766414,2.23418674212325,0.2941458993454108,2.4210386908799606,0.3267635867013018
LSPIN,0.12,0.0105,0.4,0.5705550548681989,2.063408079281096,0.2651062900407687,2.559670781893004,0.3523676811522715
LSPIN,0.12,0.014,0.0,0.4444819339934165,1.9850508104476363,0.2521008403361344,2.141765348114555,0.2772321149640737
LSPIN,0.12,0.014,0.1,0.4243780964856414,2.063408079281096,0.2647543966040024,2.1940035273368608,0.2858035435355022
LSPIN,0.12,0.014,0.2,0.5177811639017663,1.958931720836483,0.2476062900407687,2.3507180650037798,0.312781954887218
LSPIN,0.12,0.014,0.4,0.5411670997853987,1.8544553623918707,0.2314524438869226,2.455194423448392,0.3312181663837012
LSPIN,0.15,0.00525,0.0,0.5499035043646477,2.3768371546149325,0.3172982013599473,2.455194423448392,0.3310190369540873
LSPIN,0.15,0.00525,0.1,0.6434843890142384,2.533551692281851,0.3454355129266274,2.925338036449148,0.423523015585357
LSPIN,0.15,0.00525,0.2,0.6012183676951413,2.167884437725708,0.2813852813852813,2.8208616780045355,0.4003496503496503
LSPIN,0.15,0.00525,0.4,0.5464482817333731,2.3768371546149325,0.3175922846691054,2.5857898715041574,0.3551554828150573
LSPIN,0.15,0.007,0.0,0.3960371159316271,1.8544553623918707,0.2317647058823529,1.8283362727807173,0.2274547282958318
LSPIN,0.15,0.007,0.1,0.6161811149107007,2.376837154614933,0.3171052631578947,2.6380280507264637,0.3646563814866759
LSPIN,0.15,0.007,0.2,0.6131535740865065,2.2723607961703203,0.2992481203007519,2.8992189468379945,0.4162071945876673
LSPIN,0.15,0.007,0.4,0.6270335096153056,2.533551692281851,0.3454355129266274,2.559670781893004,0.3501387604070305
LSPIN,0.15,0.00875,0.0,0.3967455951924184,1.5671453766691863,0.1891792436661322,2.063408079281095,0.2643264326432643
LSPIN,0.15,0.00875,0.1,0.4849859695252397,2.1417653481145544,0.2784436820205854,2.481313513059545,0.3378894938028495
LSPIN,0.15,0.00875,0.2,0.6575373005049258,2.61190896111531,0.3620200024694406,2.925338036449148,0.421569809500844
LSPIN,0.15,0.00875,0.4,0.5185241014259713,2.298479885781473,0.3082485312222413,2.3768371546149325,0.3194805194805195
LSPIN,0.15,0.0105,0.0,0.4709284177985227,1.8544553623918707,0.2317647058823529,2.4029562442260857,0.3317647058823529
LSPIN,0.15,0.0105,0.1,0.5451885023670765,2.011169900058789,0.2571428571428571,2.533551692281851,0.3453310696095076
LSPIN,0.15,0.0105,0.2,0.484268614358888,2.141765348114555,0.2774027034514938,2.3245989753926266,0.3083696299313759
LSPIN,0.15,0.0105,0.4,0.4992300675885114,2.1156462585034013,0.2730736991224895,2.3507180650037798,0.314528152260111
LSPIN,0.15,0.014,0.0,0.4697533666783489,1.880574452003024,0.2360071301247771,2.298479885781473,0.303847687400319
LSPIN,0.15,0.014,0.1,0.4599009812803554,2.037288989669942,0.2625741024946585,2.246241706559167,0.2954468473163106
LSPIN,0.15,0.014,0.2,0.4370612988827937,2.089527168892248,0.2698722534491569,2.0895271688922485,0.2720817425625703
LSPIN,0.15,0.014,0.4,0.4806575244985926,2.298479885781473,0.3050931677018633,2.1156462585034013,0.2752214776754844
