model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
L-LSPIN,0.15,0.021,0.1,0.8789967420602375,0.0317094053727587
L-LSPIN,0.15,0.021,0.2,0.7012186560631305,0.0972963019506428
L-LSPIN,0.15,0.021,0.4,0.8064092306046504,0.0913229540609789
LSPIN,0.12,0.00525,0.0,0.7650258578992776,0.0514316764045561
LSPIN,0.12,0.00525,0.1,0.8412013490796898,0.0601408431356773
LSPIN,0.12,0.00525,0.2,0.8354336818658418,0.0805096661728297
LSPIN,0.12,0.00525,0.4,0.7918061732827445,0.0628062482103468
LSPIN,0.12,0.007,0.0,0.8286824381224484,0.0265997657439888
LSPIN,0.12,0.007,0.1,0.889171030878987,0.0183231794085891
LSPIN,0.12,0.007,0.2,0.9138841896727548,0.0266239688250944
LSPIN,0.12,0.007,0.4,0.8650405536556266,0.0342703206132059
LSPIN,0.12,0.00875,0.0,0.8154171972143306,0.0765913664357142
LSPIN,0.12,0.00875,0.1,0.8961530485065833,0.0316662059127567
LSPIN,0.12,0.00875,0.2,0.8207171479096896,0.0579420247258296
LSPIN,0.12,0.00875,0.4,0.8553878644746957,0.0781165678930636
LSPIN,0.12,0.0105,0.0,0.7198170970453681,0.1031513736966719
LSPIN,0.12,0.0105,0.1,0.8393113960619774,0.0377901242561871
LSPIN,0.12,0.0105,0.2,0.8074900398982586,0.0640219136923525
LSPIN,0.12,0.0105,0.4,0.8300337984695406,0.004643863566711
LSPIN,0.12,0.014,0.0,0.7602510202028689,0.0511950259672355
LSPIN,0.12,0.014,0.1,0.7598136373479103,0.0231693698667957
LSPIN,0.12,0.014,0.2,0.8445210405411033,0.0309561154225057
LSPIN,0.12,0.014,0.4,0.736879764723084,0.0701200668106549
LSPIN,0.15,0.00525,0.0,0.782458465848356,0.0192138344174908
LSPIN,0.15,0.00525,0.1,0.836293418257171,0.0560423383892416
LSPIN,0.15,0.00525,0.2,0.8525497286606227,0.0296171399170617
LSPIN,0.15,0.00525,0.4,0.8031760366809658,0.038967781833164
LSPIN,0.15,0.007,0.0,0.7887841813412559,0.0431108143743913
