model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
L-Concrete,0.15,0.0033,0.2,0.5550110115040922,0.625654295349773
L-Concrete,0.15,0.0033,0.4,0.749571744903807,0.7453327203372059
L-Concrete,0.15,0.0044,0.0,0.31659903762046576,0.34377866466219426
L-Concrete,0.15,0.0044,0.1,0.4776327537222414,0.5345732870266942
L-Concrete,0.15,0.0044,0.2,0.641381764533644,0.6617461824012446
L-Concrete,0.15,0.0044,0.4,0.6155195263520885,0.6460574668982085
L-Concrete,0.15,0.0066,0.0,0.2679140699481809,0.3422722019697413
L-Concrete,0.15,0.0066,0.1,0.5162090724333033,0.5903047238868045
L-Concrete,0.15,0.0066,0.2,0.5007498441748329,0.5868886189583155
L-Concrete,0.15,0.0066,0.4,0.5662825026234027,0.6278915840582862
L-LSPIN,0.12,0.007,0.0,0.42949145286324114,0.4517838556636977
L-LSPIN,0.12,0.007,0.1,0.3957090024120184,0.4844800860036256
L-LSPIN,0.12,0.007,0.2,0.531678269010166,0.5789062254472224
L-LSPIN,0.12,0.007,0.4,0.7132977727384855,0.7071542117718345
L-LSPIN,0.12,0.00875,0.0,0.3215995883354695,0.3778148547684346
L-LSPIN,0.12,0.00875,0.1,0.4388732323582907,0.4993996339058468
L-LSPIN,0.12,0.00875,0.2,0.4843033914565667,0.5399492984718092
L-LSPIN,0.12,0.00875,0.4,0.5902568820063557,0.5940069988214847
L-LSPIN,0.12,0.0105,0.0,0.24672217673618324,0.30980340707066234
L-LSPIN,0.12,0.0105,0.1,0.49906338090747077,0.5718075730916116
L-LSPIN,0.12,0.0105,0.2,0.36556255742209715,0.4343742541880073
L-LSPIN,0.12,0.0105,0.4,0.5131268781960753,0.5449377433182866
L-LSPIN,0.12,0.014,0.0,0.24354253478237786,0.2955982160045271
L-LSPIN,0.12,0.014,0.1,0.47705047166786424,0.5199757748412699
L-LSPIN,0.12,0.014,0.2,0.3750054898071769,0.4462138169252367
L-LSPIN,0.12,0.014,0.4,0.4512836902964696,0.4946652261826907
L-LSPIN,0.12,0.021,0.0,0.27305481656283564,0.3400211689013461
L-LSPIN,0.12,0.021,0.1,0.4618582053342879,0.528889938460762
L-LSPIN,0.12,0.021,0.2,0.4503652055349612,0.49919836217993446
L-LSPIN,0.12,0.021,0.4,0.4097003304203513,0.455420196411816
L-LSPIN,0.15,0.007,0.0,0.3090127618040198,0.36261775031126436
L-LSPIN,0.15,0.007,0.1,0.6939674944799251,0.6471233458917476
L-LSPIN,0.15,0.007,0.2,0.6138131518950023,0.6102898128156962
L-LSPIN,0.15,0.007,0.4,0.5702513676544295,0.5945628032195899
L-LSPIN,0.15,0.00875,0.0,0.27730986664019847,0.3694194056451258
L-LSPIN,0.15,0.00875,0.1,0.4353354428029886,0.4950820615564422
L-LSPIN,0.15,0.00875,0.2,0.4870256892642704,0.5510579691431873
L-LSPIN,0.15,0.00875,0.4,0.4608690012785867,0.5114616452466013
L-LSPIN,0.15,0.0105,0.0,0.40667358263149683,0.45164301630756215
L-LSPIN,0.15,0.0105,0.1,0.4079709615954104,0.5045210385351127
L-LSPIN,0.15,0.0105,0.2,0.3971233493741013,0.473773774856884
L-LSPIN,0.15,0.0105,0.4,0.40278580946281356,0.4570515382621556
L-LSPIN,0.15,0.014,0.0,0.3629142678921921,0.39306753872208366
L-LSPIN,0.15,0.014,0.1,0.35807777502741484,0.4437726485370374
L-LSPIN,0.15,0.014,0.2,0.45092819180447,0.5187257196005802
L-LSPIN,0.15,0.014,0.4,0.5038699997984045,0.544259990742981
L-LSPIN,0.15,0.021,0.0,0.27916630387853875,0.3399926381175546
L-LSPIN,0.15,0.021,0.1,0.4210793604978953,0.4944601553709577
L-LSPIN,0.15,0.021,0.2,0.34163721910111916,0.4263165712004329
L-LSPIN,0.15,0.021,0.4,0.4536756209080582,0.49617340348004263
LSPIN,0.12,0.00525,0.0,0.32499494506184173,0.39457024615853603
LSPIN,0.12,0.00525,0.1,0.5518728117935621,0.6157265616582649
LSPIN,0.12,0.00525,0.2,0.5679196705024553,0.5885200813699649
LSPIN,0.12,0.00525,0.4,0.3287057949878603,0.43340230552694586
LSPIN,0.12,0.007,0.0,0.38198021807077226,0.4211081772942314
LSPIN,0.12,0.007,0.1,0.3941686473703731,0.4701425588758384
LSPIN,0.12,0.007,0.2,0.501661203193091,0.5426853346027931
LSPIN,0.12,0.007,0.4,0.4896557722903317,0.5547635204018279
LSPIN,0.12,0.00875,0.0,0.3588476208833018,0.42795674100435055
LSPIN,0.12,0.00875,0.1,0.5087313310647377,0.5304770782816005
LSPIN,0.12,0.00875,0.2,0.4678155515734413,0.48995562922132013
LSPIN,0.12,0.00875,0.4,0.45338884851390776,0.5038911765691495
LSPIN,0.12,0.0105,0.0,0.40945227176272986,0.436459047046516
LSPIN,0.12,0.0105,0.1,0.507462291094971,0.5224360912716491
LSPIN,0.12,0.0105,0.2,0.4207624957848226,0.48515379179594914
LSPIN,0.12,0.0105,0.4,0.40452999403526846,0.4568918004475164
LSPIN,0.12,0.014,0.0,0.2868583990587151,0.3419239270539409
LSPIN,0.12,0.014,0.1,0.42364998479533084,0.5115774603773352
LSPIN,0.12,0.014,0.2,0.48350181389839325,0.5329372349865947
LSPIN,0.12,0.014,0.4,0.3888365033926801,0.46185630534629557
LSPIN,0.15,0.00525,0.0,0.39926215836687334,0.46299343792806597
LSPIN,0.15,0.00525,0.1,0.481979327222311,0.5029582168880166
LSPIN,0.15,0.00525,0.2,0.5530132171440382,0.5714467971146358
LSPIN,0.15,0.00525,0.4,0.4827082953079702,0.5249896566584411
LSPIN,0.15,0.007,0.0,0.3425529842742203,0.3832081780297114
LSPIN,0.15,0.007,0.1,0.5146422094676911,0.5495271040417462
LSPIN,0.15,0.007,0.2,0.4511888673037101,0.5531935142580552
LSPIN,0.15,0.007,0.4,0.4786860193348588,0.5537397312041752
LSPIN,0.15,0.00875,0.0,0.38545910385944565,0.39150825209618173
LSPIN,0.15,0.00875,0.1,0.34475688901180873,0.41529533486804215
LSPIN,0.15,0.00875,0.2,0.46185623917351976,0.4651413634381978
LSPIN,0.15,0.00875,0.4,0.5575920757014087,0.5597625681956865
LSPIN,0.15,0.0105,0.0,0.5230573450424475,0.4892151920165193
LSPIN,0.15,0.0105,0.1,0.464169626484557,0.49626758686418054
LSPIN,0.15,0.0105,0.2,0.4823153133446301,0.5090043807308201
LSPIN,0.15,0.0105,0.4,0.3933331283524499,0.4817597019104327
LSPIN,0.15,0.014,0.0,0.4764232521401151,0.4824741327757341
LSPIN,0.15,0.014,0.1,0.4670662038417084,0.47352656008913857
