model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,mean_affinity_corr,std_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,mean_cluster_ari,mean_cluster_nmi
L-Concrete,0.15,0.00165,0.1,0.5834561834561834,0.03525929316186398,2715.7952880859375,900.9618297338474,0.993380266795319,0.005387547621192179,7250.333333333333,5766.666666666667,3,2716.5281575520835,902.1833845921832,0.8263897952667745,0.13508962646430378,0.5335747655038612,2.298479885781473,0.30578088578088575,2.4290753338372393,0.33312648962725816,0.7009576121824832,0.6983372469658478
L-Concrete,0.15,0.00165,0.2,0.5343707343707343,0.02014830793362604,2541.6431477864585,201.40841765592438,0.9907691326462965,0.003322140425680656,5013.333333333333,4606.333333333333,3,2541.6974283854165,201.36230596511538,0.8024170970662693,0.11950600457894112,0.5382254066231644,2.1678844377257076,0.2819130127298444,2.5596707818930042,0.35023990551413603,0.5429703861565943,0.6060748731983706
L-Concrete,0.15,0.00165,0.4,0.5374010374010374,0.014772998047543515,2260.604451497396,277.50717736491345,0.9912089517448006,0.004170508180936555,3408.3333333333335,3318.3333333333335,3,2260.593994140625,277.52485532666645,0.8523445608828819,0.11483189189438818,0.7291277499490185,2.8469807676156886,0.4077500834538778,2.9253380364491477,0.4213353997158724,0.6726499868046362,0.696934642970772
L-Concrete,0.15,0.00275,0.0,0.5827463827463827,0.049831157936838295,403.34405008951825,239.69292752479282,0.9620083295405816,0.02087418786182986,1787.6666666666667,1026.0,3,403.3366343180339,239.69250212946488,0.5968480158191208,0.01314706584045942,0.5017678712964498,2.246241706559167,0.29464285714285715,2.2462417065591667,0.297564320229855,0.3024835031117028,0.38759502793128514
L-Concrete,0.15,0.00275,0.1,0.5743106743106743,0.046715819159716516,1528.8992513020833,275.38754456898937,0.9898524655406048,0.003480406930695654,3042.0,2810.6666666666665,3,1528.9235432942708,275.42203996922314,0.818397503346076,0.12830999472351712,0.5871345568042168,2.4290753338372384,0.3283469721767594,2.69026622994877,0.37543859649122807,0.46949080499243223,0.5657765045240523
L-Concrete,0.15,0.00275,0.2,0.5795522795522796,0.04435419396829437,1473.1822102864583,39.18095514282173,0.9885575423644443,0.002934933234003712,2934.3333333333335,2696.3333333333335,3,1473.1743977864583,39.156516652735455,0.8344652104405572,0.09988441333711073,0.48610092969622215,2.1417653481145544,0.28076416337285903,2.1678844377257076,0.2826500947967137,0.5479182342654534,0.6082453221050473
L-Concrete,0.15,0.00275,0.4,0.5444717444717444,0.027134029861972508,1589.2379557291667,191.1158879326519,0.9903169638045649,0.001444764330656221,3152.3333333333335,2953.3333333333335,3,1589.2357177734375,191.08388228387153,0.9063523599600743,0.056854514276980544,0.5494077396255561,2.141765348114555,0.27783613445378147,2.376837154614933,0.3171052631578947,0.5836875630908199,0.6509232944696139
L-Concrete,0.15,0.0033,0.0,0.598989898989899,0.03610635806013781,468.39549763997394,163.6342607565506,0.9776840956085868,0.008011293272927508,2289.6666666666665,1381.6666666666667,3,468.4462381998698,163.6343519673754,0.733008683491715,0.058455710562646486,0.48039535472991207,2.1678844377257076,0.282815640763075,2.063408079281095,0.2692307692307692,0.27734072413188987,0.34034964722532307
L-Concrete,0.15,0.0033,0.1,0.5814905814905815,0.027198226793788277,1262.6270345052083,159.90529422399513,0.9874873307003522,0.003222044325371252,2192.3333333333335,2117.6666666666665,3,1262.6041259765625,159.965779729407,0.9492298909412783,0.021893810430947774,0.5376068628321223,1.9850508104476356,0.25200941453368636,2.5074326026706983,0.34172279333569655,0.5627138411045568,0.6631843538904645
L-Concrete,0.15,0.0033,0.2,0.5635271635271635,0.0539065152828661,1189.3505045572917,149.3862697683614,0.9873517628691517,0.003103163037268457,2083.3333333333335,2032.0,3,1189.3690999348958,149.4328938738328,0.9136594368516642,0.0613897292927448,0.5436098265381429,2.089527168892248,0.2695094145336864,2.037288989669942,0.26,0.5550110115040922,0.625654295349773
