model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
L-Concrete,concrete,0.12,0.0066,0.1,6,7,0.5646178786255301,0.5817262615691366
L-Concrete,concrete,0.12,0.0066,0.1,6,8,0.4755442605453369,0.5356205130699225
L-Concrete,concrete,0.12,0.0066,0.1,6,9,0.4535966900262954,0.5595635973086039
L-Concrete,concrete,0.12,0.0066,0.1,6,10,0.524504200969527,0.5670152601516236
L-Concrete,concrete,0.12,0.0066,0.1,6,11,0.4466015676995251,0.5782888186161721
L-Concrete,concrete,0.12,0.0066,0.1,7,8,0.5111454625339299,0.6018413389440275
L-Concrete,concrete,0.12,0.0066,0.1,7,9,0.3892734076282547,0.5182866691102428
L-Concrete,concrete,0.12,0.0066,0.1,7,10,0.4622119904038598,0.534321349674536
L-Concrete,concrete,0.12,0.0066,0.1,7,11,0.4516230168427058,0.577157441986409
L-Concrete,concrete,0.12,0.0066,0.1,8,9,0.65089113121157,0.667197236057055
L-Concrete,concrete,0.12,0.0066,0.1,8,10,0.694544720908387,0.6923158183540975
L-Concrete,concrete,0.12,0.0066,0.1,8,11,0.574102972120237,0.6401460312481744
L-Concrete,concrete,0.12,0.0066,0.1,9,10,0.5157194676923315,0.5449739285023366
L-Concrete,concrete,0.12,0.0066,0.1,9,11,0.6505021237676338,0.6287930533680821
L-Concrete,concrete,0.12,0.0066,0.1,10,11,0.4926441847825999,0.5525327159767578
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,4,0.3467251976996023,0.365735302809572
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,5,0.2291239684741677,0.2992902708483721
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,6,0.3799713919855132,0.4431149590056344
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,7,0.3230260789612775,0.347724750145289
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,8,0.393358510581671,0.4058489382982463
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,9,0.320213731149961,0.3556989674218264
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,10,0.1871801500725774,0.2456596910010369
L-LSPIN,lspin_tf,0.15,0.007,0.0,3,11,0.2087566219983354,0.2772517994358157
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,5,0.231720570143269,0.320667918097452
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,6,0.2672573069041329,0.3170196846979334
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,7,0.4328626965051269,0.4516375930404537
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,8,0.2648863000728383,0.3088954595062069
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,9,0.3739464430928216,0.424455095684966
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,10,0.2225686820330477,0.2913392190723098
L-LSPIN,lspin_tf,0.15,0.007,0.0,4,11,0.249040528174218,0.3614178368814159
L-LSPIN,lspin_tf,0.15,0.007,0.0,5,6,0.2130926567523808,0.2919475227547651
L-LSPIN,lspin_tf,0.15,0.007,0.0,5,7,0.284231283476584,0.3564609632299844
L-LSPIN,lspin_tf,0.15,0.007,0.0,5,8,0.3429129551372821,0.3711582512387134
L-LSPIN,lspin_tf,0.15,0.007,0.0,5,9,0.2840105892025659,0.3733993676939882
L-LSPIN,lspin_tf,0.15,0.007,0.0,5,10,0.4429508262586276,0.4518150597498843
L-LSPIN,lspin_tf,0.15,0.007,0.0,5,11,0.354403429516425,0.4315796373714435
L-LSPIN,lspin_tf,0.15,0.007,0.0,6,7,0.3296718591734767,0.3409353868351569
L-LSPIN,lspin_tf,0.15,0.007,0.0,6,8,0.3672441425489377,0.4263309377488172
L-LSPIN,lspin_tf,0.15,0.007,0.0,6,9,0.2615068682580038,0.2812578085068551
L-LSPIN,lspin_tf,0.15,0.007,0.0,6,10,0.2427882647109058,0.3171100371470917
L-LSPIN,lspin_tf,0.15,0.007,0.0,6,11,0.2420908852432898,0.301259298606973
L-LSPIN,lspin_tf,0.15,0.007,0.0,7,8,0.391459221303666,0.4524902824997415
L-LSPIN,lspin_tf,0.15,0.007,0.0,7,9,0.530763538417259,0.4953727556223791
L-LSPIN,lspin_tf,0.15,0.007,0.0,7,10,0.3064398383849819,0.3708812865239833
L-LSPIN,lspin_tf,0.15,0.007,0.0,7,11,0.238830914826751,0.3120893218329303
L-LSPIN,lspin_tf,0.15,0.007,0.0,8,9,0.3350862986684366,0.3953257481460827
L-LSPIN,lspin_tf,0.15,0.007,0.0,8,10,0.3765067547473036,0.4435734108785006
L-LSPIN,lspin_tf,0.15,0.007,0.0,8,11,0.2693470013355445,0.3550703274855884
L-LSPIN,lspin_tf,0.15,0.007,0.0,9,10,0.2899656492276574,0.3567507335022696
L-LSPIN,lspin_tf,0.15,0.007,0.0,9,11,0.298503059292531,0.3742450134701583
L-LSPIN,lspin_tf,0.15,0.007,0.0,10,11,0.3731688236820755,0.42072635092176
L-Concrete,concrete,0.12,0.0033,0.0,3,4,0.1744999859985687,0.2245277591960233
L-Concrete,concrete,0.12,0.0033,0.0,3,5,0.3052174006995461,0.3813831087024465
L-Concrete,concrete,0.12,0.0033,0.0,3,6,0.3707181251667833,0.4489550477062094
L-Concrete,concrete,0.12,0.0033,0.0,3,7,0.3380476440816173,0.3886900371271701
L-Concrete,concrete,0.12,0.0033,0.0,3,8,0.4281520670308139,0.4728287506000994
L-Concrete,concrete,0.12,0.0033,0.0,3,9,0.3957981235995109,0.4592249336777619
L-Concrete,concrete,0.12,0.0033,0.0,3,10,0.3999023673581213,0.4544642986599611
L-Concrete,concrete,0.12,0.0033,0.0,3,11,0.2756873130168878,0.3483656885615483
L-Concrete,concrete,0.12,0.0033,0.0,4,5,0.2642140490030434,0.3200215668238756
L-Concrete,concrete,0.12,0.0033,0.0,4,6,0.2672730081327859,0.3297940830851144
L-Concrete,concrete,0.12,0.0033,0.0,4,7,0.2716468282952569,0.3595249175174653
L-Concrete,concrete,0.12,0.0033,0.0,4,8,0.3051711414455649,0.3492903884797156
L-Concrete,concrete,0.12,0.0033,0.0,4,9,0.3284279277704843,0.3548620403138046
L-Concrete,concrete,0.12,0.0033,0.0,4,10,0.2683936429300407,0.3366685431109721
L-Concrete,concrete,0.12,0.0033,0.0,4,11,0.2411035013466598,0.299653045704602
L-Concrete,concrete,0.12,0.0033,0.0,5,6,0.3821770121392133,0.3867364207337083
L-Concrete,concrete,0.12,0.0033,0.0,5,7,0.204005353605454,0.2455833655398841
